,Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
0,Brazil,219.43539325842696,252.0,360.0,1.0,303.35406,303.8606,317.10522,279.47803
1,Mexico,88.95575221238938,85.0,263.0,1.0,298.4868,298.98132,319.74316,269.4463
2,Colombia,219.80769230769232,284.5,353.0,1.0,303.2353,302.906,314.1355,294.10547
3,Argentina,61.24786324786325,61.0,162.0,1.0,291.30704,290.854,318.2693,267.53125
4,Peru,219.74285714285713,276.0,349.0,1.0,299.36255,299.6848,313.39185,279.05518
5,Venezuela,231.3921568627451,256.0,352.0,1.0,304.19324,303.8806,314.1355,296.35034
6,Chile,12.692307692307692,11.0,34.0,1.0,286.8778,285.83374,308.68677,267.66992
7,Ecuador,34.57142857142857,7.0,151.0,2.0,299.9955,299.9242,307.2732,295.93433
8,Guatemala,127.54545454545455,109.0,240.0,59.0,301.86642,301.94556,313.65698,288.6421
9,Bolivia,217.05405405405406,228.0,334.0,2.0,298.12234,298.70923,315.6194,277.49316
10,Haiti,60.8,21.0,175.0,2.0,301.44485,301.67175,306.52466,295.70752
11,Dominican Republic,80.0,91.0,175.0,2.0,301.38306,301.49084,306.52466,295.74414
12,Cuba,69.3076923076923,64.0,143.0,7.0,300.4573,301.0022,307.77808,288.71924
13,Honduras,87.27272727272727,109.0,169.0,1.0,301.3988,301.45972,310.13184,289.9204
14,Nicaragua,112.0,127.5,210.0,1.0,302.22995,301.96277,310.13184,293.48364
15,Paraguay,139.43333333333334,140.0,208.0,56.0,300.5057,301.13928,316.36816,280.60522
16,El Salvador,113.75,113.5,129.0,99.0,302.12225,302.16772,309.9585,292.9746
17,Costa Rica,102.125,85.0,210.0,8.0,302.329,301.9922,309.3894,296.6897
18,Panama,86.0909090909091,83.0,169.0,7.0,302.27206,302.20972,306.57007,297.56738
19,Uruguay,50.5,53.0,85.0,2.0,294.963,294.35962,315.44556,279.8833
20,Jamaica,59.0,59.0,59.0,59.0,301.31326,301.5598,304.5266,295.12354
21,Trinidad & Tobago,36.0,36.0,36.0,36.0,301.26886,301.2295,304.09863,299.47827
22,Guyana,253.41176470588235,282.0,339.0,2.0,304.55612,304.2975,313.32153,297.70337
23,Suriname,298.0769230769231,310.0,336.0,209.0,305.42026,305.19067,311.9668,299.9497
24,"Bahamas, The",47.0,47.0,59.0,35.0,298.91373,299.4873,305.2312,285.50293
25,Belize,175.66666666666666,178.0,240.0,109.0,302.78406,302.9895,313.65698,289.9204
26,Barbados,,,,,300.70084,300.8457,302.104,299.28833
27,St Lucia,,,,,300.68652,300.7898,302.01978,299.49878
28,Grenada,,,,,300.8934,300.95337,302.50024,299.5686
29,St Vincent & the Grenadines,,,,,300.8438,300.9419,302.22876,299.5686
30,Antigua & Barbuda,,,,,300.37088,300.4192,301.54785,297.9834
31,Dominica,,,,,300.49826,300.57056,301.6709,299.0725
32,St Kitts & Nevis,,,,,300.37088,300.4192,301.54785,297.9834
