Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
Brazil,175.2130339539978,200.45454545454544,309.1818181818182,0.09090909090909091,175.2130339539978,200.45454545454544,309.1818181818182,0.09090909090909091
Mexico,97.68538324420676,107.18181818181819,261.6363636363636,0.18181818181818182,97.68538324420676,107.18181818181819,261.6363636363636,0.18181818181818182
Colombia,167.17371737173718,209.63636363636363,343.3636363636364,0.18181818181818182,167.17371737173718,209.63636363636363,343.3636363636364,0.18181818181818182
Argentina,66.51295938104448,59.18181818181818,237.9090909090909,0.09090909090909091,66.51295938104448,59.18181818181818,237.9090909090909,0.09090909090909091
Peru,125.91549295774648,150.0,247.0909090909091,0.09090909090909091,125.91549295774648,150.0,247.0909090909091,0.09090909090909091
Venezuela,222.58585858585857,241.04545454545456,348.27272727272725,3.4545454545454546,222.58585858585857,241.04545454545456,348.27272727272725,3.4545454545454546
Chile,6.110047846889953,2.6363636363636362,44.63636363636363,0.09090909090909091,6.110047846889953,2.6363636363636362,44.63636363636363,0.09090909090909091
Ecuador,58.68421052631579,45.18181818181818,155.0,0.18181818181818182,58.68421052631579,45.18181818181818,155.0,0.18181818181818182
Guatemala,112.06951871657755,118.54545454545455,238.36363636363637,12.545454545454545,112.06951871657755,118.54545454545455,238.36363636363637,12.545454545454545
Bolivia,173.41333333333333,204.0,275.1818181818182,0.6363636363636364,173.41333333333333,204.0,275.1818181818182,0.6363636363636364
Haiti,74.15151515151514,91.63636363636363,105.0,19.454545454545453,74.15151515151514,91.63636363636363,105.0,19.454545454545453
Dominican Republic,43.12727272727273,29.727272727272727,105.0,5.818181818181818,43.12727272727273,29.727272727272727,105.0,5.818181818181818
Cuba,77.42857142857143,68.13636363636364,157.45454545454547,14.636363636363637,77.42857142857143,68.13636363636364,157.45454545454547,14.636363636363637
Honduras,117.86602870813397,121.0,262.27272727272725,1.2727272727272727,117.86602870813397,121.0,262.27272727272725,1.2727272727272727
Nicaragua,160.4181818181818,171.8181818181818,324.1818181818182,12.454545454545455,160.4181818181818,171.8181818181818,324.1818181818182,12.454545454545455
Paraguay,207.8080808080808,217.36363636363637,275.1818181818182,115.54545454545455,207.8080808080808,217.36363636363637,275.1818181818182,115.54545454545455
El Salvador,139.62121212121212,149.54545454545456,262.27272727272725,12.545454545454545,139.62121212121212,149.54545454545456,262.27272727272725,12.545454545454545
Costa Rica,106.18181818181819,99.36363636363636,266.90909090909093,0.5454545454545454,106.18181818181819,99.36363636363636,266.90909090909093,0.5454545454545454
Panama,96.81212121212121,90.36363636363636,258.90909090909093,1.0909090909090908,96.81212121212121,90.36363636363636,258.90909090909093,1.0909090909090908
Uruguay,36.689393939393945,35.04545454545455,83.0,0.09090909090909091,36.689393939393945,35.04545454545455,83.0,0.09090909090909091
Jamaica,34.84090909090909,29.272727272727273,75.45454545454545,5.363636363636363,34.84090909090909,29.272727272727273,75.45454545454545,5.363636363636363
Trinidad & Tobago,30.545454545454543,3.3636363636363638,87.81818181818181,0.45454545454545453,30.545454545454543,3.3636363636363638,87.81818181818181,0.45454545454545453
Guyana,240.69278996865202,263.72727272727275,317.8181818181818,0.8181818181818182,240.69278996865202,263.72727272727275,317.8181818181818,0.8181818181818182
Suriname,258.81339712918657,290.6363636363636,325.0,1.9090909090909092,258.81339712918657,290.6363636363636,325.0,1.9090909090909092
"Bahamas, The",13.25909090909091,4.318181818181818,79.63636363636364,1.4545454545454546,13.25909090909091,4.318181818181818,79.63636363636364,1.4545454545454546
Belize,142.53246753246754,121.0,229.1818181818182,74.0909090909091,142.53246753246754,121.0,229.1818181818182,74.0909090909091
Barbados,,,,,,,,
St Lucia,,,,,,,,
Grenada,,,,,,,,
St Vincent & the Grenadines,,,,,,,,
Antigua & Barbuda,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182
Dominica,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
St Kitts & Nevis,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
