,Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
0,Brazil,114.1754658,123,280,1,301.61053,301.67087,316.02725,276.2425
1,Mexico,88.84895833,99.5,237,1,298.67438,299.1499,319.23853,269.13367
2,Colombia,119.6428571,119,315,1,300.90802,301.37683,311.77942,288.3176
3,Argentina,90.87755102,93,230,1,292.0162,291.6402,316.44653,259.62506
4,Peru,67.13793103,69.5,131,1,296.18463,297.5921,313.19467,272.05405
5,Venezuela,162.7954545,159,355,3,302.72888,302.70123,311.77942,291.39355
6,Chile,9.2,3,49,1,286.19168,285.32013,309.68253,263.1784
7,Ecuador,29.30769231,29,109,1,297.65878,297.8324,307.5102,285.28586
8,Guatemala,58.47058824,24,193,1,299.99933,300.27115,312.1602,285.3276
9,Bolivia,137.2794118,137,245,3,297.559,300.1883,315.96848,271.85822
10,Haiti,50.6,58,71,5,300.71487,300.77692,305.8493,293.8973
11,Dominican Republic,30.8,14,71,3,299.97836,300.0467,305.8493,292.57632
12,Cuba,41.26923077,27,115,2,300.28314,300.54895,307.4309,288.36282
13,Honduras,72.38888889,80.5,162,1,300.55734,300.70715,309.34735,286.9115
14,Nicaragua,85.15789474,87,217,1,301.5704,301.55316,309.67722,288.31793
15,Paraguay,196.3555556,211,245,103,303.06143,303.5818,316.44653,279.69348
16,El Salvador,57.33333333,48.5,162,1,300.23752,300.9414,307.53546,286.9115
17,Costa Rica,45.66666667,41,113,1,300.68723,300.7179,308.15195,293.86176
18,Panama,45.16666667,34,140,4,301.029,301.0985,309.05414,293.86176
19,Uruguay,63.73913043,67,121,2,295.3411,294.71817,314.73083,278.5564
20,Jamaica,12.66666667,10,21,7,300.3544,300.3628,304.34476,295.03723
21,Trinidad & Tobago,60,60,60,60,300.3456,300.24002,304.39273,297.72366
22,Guyana,187.8928571,206.5,280,1,303.31558,303.1267,312.06146,292.20193
23,Suriname,216.2105263,228,284,1,303.8067,303.83545,312.06146,294.6903
24,"Bahamas, The",12.25,7,34,1,298.40497,298.58563,304.62012,283.61383
25,Belize,103.4285714,83,196,33,301.25204,301.27808,310.8984,286.96332
26,Barbados,,,,,299.4255,299.09644,302.0844,296.9667
27,St Lucia,,,,,299.46027,299.10577,302.04053,296.76062
28,Grenada,,,,,299.5662,299.3558,302.04846,297.39746
29,St Vincent & the Grenadines,,,,,299.57202,299.3388,302.04846,297.1992
30,Antigua & Barbuda,,,,,298.9632,298.71576,301.84326,296.12332
31,Dominica,,,,,299.5135,299.3112,302.189,296.88904
32,St Kitts & Nevis,,,,,298.99884,298.7316,301.77353,296.23022
