,Country,Mean days,Median days,Max days,Min days,Mean temp,Median temp,Max temp,Min temp
0,Brazil,236.01355013550136,269.0,364.0,1.0,304.47372,304.7959,318.2478,280.30713
1,Mexico,135.15254237288136,132.5,316.0,1.0,300.6789,301.38123,321.5017,273.16333
2,Colombia,225.135593220339,293.0,359.0,2.0,304.25952,303.67102,315.96045,295.30566
3,Argentina,77.90151515151516,77.5,215.0,1.0,293.13113,292.82654,321.36548,267.31445
4,Peru,201.13636363636363,278.5,357.0,1.0,300.43048,300.5476,317.44922,280.62134
5,Venezuela,258.15384615384613,301.5,360.0,10.0,304.97443,304.71436,315.08472,296.6919
6,Chile,17.153846153846153,3.0,75.0,1.0,288.04636,287.01,310.3755,267.31445
7,Ecuador,45.61538461538461,12.0,226.0,1.0,300.8277,300.68066,309.5642,296.27344
8,Guatemala,170.8181818181818,157.0,281.0,95.0,303.00864,302.96973,312.39673,290.44263
9,Bolivia,225.07142857142858,267.0,351.0,3.0,299.5427,300.63867,318.39038,277.15332
10,Haiti,116.83333333333333,98.5,279.0,3.0,302.5127,302.42896,308.39014,297.4817
11,Dominican Republic,107.375,93.0,279.0,3.0,302.28577,302.24426,308.39014,297.4817
12,Cuba,134.0625,134.5,282.0,3.0,302.52722,302.4204,308.48608,294.67944
13,Honduras,100.23076923076923,107.0,262.0,2.0,302.15826,302.09937,308.12598,292.08276
14,Nicaragua,154.78571428571428,167.5,325.0,4.0,302.84348,302.72644,308.2268,296.6255
15,Paraguay,180.16666666666666,183.5,260.0,88.0,302.5881,303.06873,320.6045,279.46118
16,El Salvador,227.5,231.5,293.0,154.0,303.38132,303.59802,308.12598,296.35742
17,Costa Rica,180.375,188.0,325.0,33.0,303.22336,303.13403,308.2268,299.1814
18,Panama,170.54545454545453,172.0,305.0,18.0,302.9298,303.0371,306.51343,298.5979
19,Uruguay,79.6875,87.0,121.0,6.0,297.1378,296.38232,317.36304,280.74805
20,Jamaica,68.33333333333333,34.0,170.0,1.0,302.35263,302.4016,305.13818,298.97437
21,Trinidad & Tobago,74.0,74.0,74.0,74.0,301.61932,301.69824,305.54492,299.52588
22,Guyana,252.0,289.0,346.0,16.0,304.7058,304.21265,312.85815,298.9829
23,Suriname,308.84615384615387,325.0,346.0,203.0,305.53516,305.3047,312.7268,300.41382
24,"Bahamas, The",33.625,2.5,118.0,1.0,300.71225,300.82092,308.02197,289.29028
25,Belize,193.33333333333334,192.0,281.0,107.0,303.38153,303.3816,312.39673,292.08276
26,Barbados,,,,,301.13477,301.44067,302.78687,299.09888
27,St Lucia,,,,,301.07144,301.43726,302.7522,299.0205
28,Grenada,,,,,301.24207,301.33252,303.13452,299.14355
29,St Vincent & the Grenadines,,,,,301.2354,301.4895,302.9629,299.14355
30,Antigua & Barbuda,,,,,300.62204,301.10486,302.6172,298.25
31,Dominica,,,,,300.8621,301.34668,302.65356,298.56592
32,St Kitts & Nevis,,,,,300.62204,301.10486,302.6172,298.25
